codigo,codigo_global,numero_na_selecao,selecao,grupo,confederacao,ranking_fifa,jogador,posicao,clube,tipo,raridade,is_brilhante,rating_overall,pagina_album
IRA15,74,15,Iraque,A,AFC,71,Al-Buraikan,ATA,Yokohama FM,Jogador,Normal,0,65,7
IRA16,75,16,Iraque,A,AFC,71,Salem,ATA,Urawa Reds,Jogador,Normal,0,69,7
IRA17,76,17,Iraque,A,AFC,71,Endo,ATA,Melbourne City,Jogador,Normal,0,63,7
IRA18,77,18,Iraque,A,AFC,71,Nishino,ATA,Al-Hilal,Jogador,Normal,0,71,7
IRA19,78,19,Iraque,A,AFC,71,Estrela Iraque,ATA,Al-Nassr,Estrela,Brilhante,1,66,7
IRA20,79,20,Iraque,A,AFC,71,Estrela Iraque,ATA,Al-Ittihad,Destaque,Brilhante,1,71,7
NOV01,80,1,Nova Zelândia,A,OFC,90,Escudo Nova Zelândia,ESP,—,Escudo,Brilhante,1,,9
NOV02,81,2,Nova Zelândia,A,OFC,90,Grupo A — Nova Zelândia,ESP,—,Grupo,Normal,0,,9
NOV03,82,3,Nova Zelândia,A,OFC,90,McGlinchey,GOL,AS Tefana,Goleiro,Normal,0,65,9
NOV04,83,4,Nova Zelândia,A,OFC,90,Gould,GOL,AS Pirae,Goleiro,Normal,0,62,9
NOV05,84,5,Nova Zelândia,A,OFC,90,Wood,ZAG,Wellington Phoenix,Jogador,Normal,0,63,9
NOV06,85,6,Nova Zelândia,A,OFC,90,Woud,ZAG,AS Pirae,Jogador,Normal,0,57,9
NOV07,86,7,Nova Zelândia,A,OFC,90,Woud,ZAG,AS Tefana,Jogador,Normal,0,59,9
NOV08,87,8,Nova Zelândia,A,OFC,90,Gould,LAT,Wellington Phoenix,Jogador,Normal,0,66,9
NOV09,88,9,Nova Zelândia,A,OFC,90,Woud,LAT,Auckland City,Jogador,Normal,0,62,9
NOV10,89,10,Nova Zelândia,A,OFC,90,McGlinchey,VOL,AS Pirae,Jogador,Normal,0,66,9
NOV11,90,11,Nova Zelândia,A,OFC,90,Cacace,MEI,Auckland City,Jogador,Normal,0,62,9
NOV12,91,12,Nova Zelândia,A,OFC,90,Paston,MEI,Wellington Phoenix,Jogador,Normal,0,67,9
NOV13,92,13,Nova Zelândia,A,OFC,90,Singh,ATA,AS Tefana,Jogador,Normal,0,60,9
NOV14,93,14,Nova Zelândia,A,OFC,90,McGlinchey,ATA,AS Pirae,Jogador,Normal,0,69,9
NOV15,94,15,Nova Zelândia,A,OFC,90,Woud,ATA,Auckland City,Jogador,Normal,0,60,9
NOV16,95,16,Nova Zelândia,A,OFC,90,Cacace,ATA,Wellington Phoenix,Jogador,Normal,0,61,9
NOV17,96,17,Nova Zelândia,A,OFC,90,Gould,ATA,Wellington Phoenix,Jogador,Normal,0,70,9
NOV18,97,18,Nova Zelândia,A,OFC,90,Paston,ATA,Auckland City,Jogador,Normal,0,68,9
NOV19,98,19,Nova Zelândia,A,OFC,90,Estrela Nova Zelândia,ATA,AS Tefana,Estrela,Brilhante,1,66,9
NOV20,99,20,Nova Zelândia,A,OFC,90,Estrela Nova Zelândia,ATA,Auckland City,Destaque,Brilhante,1,67,9
ESP01,100,1,Espanha,B,UEFA,3,Escudo Espanha,ESP,—,Escudo,Brilhante,1,,11
ESP02,101,2,Espanha,B,UEFA,3,Grupo B — Espanha,ESP,—,Grupo,Normal,0,,11
ESP03,102,3,Espanha,B,UEFA,3,Unai Simón,GOL,Athletic Bilbao,Goleiro,Normal,0,83,11
ESP04,103,4,Espanha,B,UEFA,3,David Raya,GOL,Arsenal,Goleiro,Normal,0,88,11
ESP05,104,5,Espanha,B,UEFA,3,Robin Le Normand,ZAG,Atlético Madrid,Jogador,Normal,0,84,11
ESP06,105,6,Espanha,B,UEFA,3,Aymeric Laporte,ZAG,Al-Nassr,Jogador,Normal,0,85,11
ESP07,106,7,Espanha,B,UEFA,3,Pau Cubarsí,ZAG,Barcelona,Jogador,Normal,0,81,11
ESP08,107,8,Espanha,B,UEFA,3,Marc Cucurella,LAT,Chelsea,Jogador,Normal,0,88,11
ESP09,108,9,Espanha,B,UEFA,3,Dani Carvajal,LAT,Real Madrid,Jogador,Normal,0,90,11
ESP10,109,10,Espanha,B,UEFA,3,Rodri,VOL,Manchester City,Jogador,Normal,0,89,11
ESP11,110,11,Espanha,B,UEFA,3,Pedri,MEI,Barcelona,Jogador,Normal,0,85,11
ESP12,111,12,Espanha,B,UEFA,3,Fabian Ruiz,MEI,PSG,Jogador,Normal,0,83,11
ESP13,112,13,Espanha,B,UEFA,3,Ferran Torres,ATA,Barcelona,Jogador,Normal,0,89,11
ESP14,113,14,Espanha,B,UEFA,3,Mikel Oyarzabal,ATA,Real Sociedad,Jogador,Normal,0,85,11
ESP15,114,15,Espanha,B,UEFA,3,Dani Olmo,MEI,Barcelona,Jogador,Normal,0,83,11
ESP16,115,16,Espanha,B,UEFA,3,Nico Williams,ATA,Athletic Bilbao,Jogador,Normal,0,85,11
ESP17,116,17,Espanha,B,UEFA,3,Gavi,MEI,Barcelona,Jogador,Normal,0,87,11
ESP18,117,18,Espanha,B,UEFA,3,Álvaro Morata,ATA,Milan,Jogador,Normal,0,82,11
ESP19,118,19,Espanha,B,UEFA,3,Lamine Yamal,ATA,Barcelona,Estrela,Brilhante,1,86,11
ESP20,119,20,Espanha,B,UEFA,3,Lamine Yamal,ATA,Barcelona,Destaque,Brilhante,1,91,11
CRO01,120,1,Croácia,B,UEFA,11,Escudo Croácia,ESP,—,Escudo,Brilhante,1,,13
CRO02,121,2,Croácia,B,UEFA,11,Grupo B — Croácia,ESP,—,Grupo,Normal,0,,13
CRO03,122,3,Croácia,B,UEFA,11,Dominik Livaković,GOL,Fenerbahçe,Goleiro,Normal,0,81,13
CRO04,123,4,Croácia,B,UEFA,11,Ivica Ivušić,GOL,Osijek,Goleiro,Normal,0,80,13
CRO05,124,5,Croácia,B,UEFA,11,Josip Šutalo,ZAG,Ajax,Jogador,Normal,0,81,13
CRO06,125,6,Croácia,B,UEFA,11,Dario Špikić,ZAG,Dinamo Zagreb,Jogador,Normal,0,79,13
CRO07,126,7,Croácia,B,UEFA,11,Joško Gvardiol,ZAG,Manchester City,Jogador,Normal,0,75,13
CRO08,127,8,Croácia,B,UEFA,11,Josip Juranović,LAT,Celtic,Jogador,Normal,0,82,13
CRO09,128,9,Croácia,B,UEFA,11,Borna Sosa,LAT,Stuttgart,Jogador,Normal,0,79,13
CRO10,129,10,Croácia,B,UEFA,11,Luka Modrić,MEI,Real Madrid,Jogador,Normal,0,83,13
CRO11,130,11,Croácia,B,UEFA,11,Marcelo Brozović,VOL,Al-Nassr,Jogador,Normal,0,80,13
CRO12,131,12,Croácia,B,UEFA,11,Mateo Kovačić,MEI,Manchester City,Jogador,Normal,0,80,13
CRO13,132,13,Croácia,B,UEFA,11,Ivan Perišić,ATA,Hajduk Split,Jogador,Normal,0,80,13
CRO14,133,14,Croácia,B,UEFA,11,Lovro Majer,MEI,Wolfsburg,Jogador,Normal,0,76,13
CRO15,134,15,Croácia,B,UEFA,11,Marko Livaja,ATA,Hajduk Split,Jogador,Normal,0,78,13
CRO16,135,16,Croácia,B,UEFA,11,Andrej Kramarić,ATA,Hoffenheim,Jogador,Normal,0,78,13
CRO17,136,17,Croácia,B,UEFA,11,Bruno Petković,ATA,Zenit,Jogador,Normal,0,83,13
CRO18,137,18,Croácia,B,UEFA,11,Nikola Vlašić,MEI,Torino,Jogador,Normal,0,84,13
CRO19,138,19,Croácia,B,UEFA,11,Luka Ivanušec,MEI,Dinamo Zagreb,Estrela,Brilhante,1,78,13
CRO20,139,20,Croácia,B,UEFA,11,Luka Ivanušec,MEI,Dinamo Zagreb,Destaque,Brilhante,1,83,13
MAR01,140,1,Marrocos,B,CAF,14,Escudo Marrocos,ESP,—,Escudo,Brilhante,1,,15
MAR02,141,2,Marrocos,B,CAF,14,Grupo B — Marrocos,ESP,—,Grupo,Normal,0,,15
MAR03,142,3,Marrocos,B,CAF,14,Yassine Bounou,GOL,Al-Hilal,Goleiro,Normal,0,79,15
MAR04,143,4,Marrocos,B,CAF,14,Munir Mohamedi,GOL,Nantes,Goleiro,Normal,0,75,15
MAR05,144,5,Marrocos,B,CAF,14,Romain Saïss,ZAG,Besiktas,Jogador,Normal,0,81,15
MAR06,145,6,Marrocos,B,CAF,14,Nayef Aguerd,ZAG,West Ham,Jogador,Normal,0,77,15
MAR07,146,7,Marrocos,B,CAF,14,Jawad El Yamiq,ZAG,Real Valladolid,Jogador,Normal,0,75,15
MAR08,147,8,Marrocos,B,CAF,14,Achraf Hakimi,LAT,PSG,Jogador,Normal,0,82,15
MAR09,148,9,Marrocos,B,CAF,14,Noussair Mazraoui,LAT,Bayern Munique,Jogador,Normal,0,78,15
MAR10,149,10,Marrocos,B,CAF,14,Sofyan Amrabat,VOL,Fiorentina,Jogador,Normal,0,79,15
MAR11,150,11,Marrocos,B,CAF,14,Azzedine Ounahi,MEI,Olympique Marseille,Jogador,Normal,0,80,15
MAR12,151,12,Marrocos,B,CAF,14,Selim Amallah,MEI,Standard Liège,Jogador,Normal,0,80,15
MAR13,152,13,Marrocos,B,CAF,14,Abdessamad Ezzalzouli,ATA,Betis,Jogador,Normal,0,78,15
MAR14,153,14,Marrocos,B,CAF,14,Soufiane Rahimi,ATA,Al-Ain,Jogador,Normal,0,79,15
MAR15,154,15,Marrocos,B,CAF,14,Ayoub El Kaabi,ATA,Olympiakos,Jogador,Normal,0,78,15
MAR16,155,16,Marrocos,B,CAF,14,Youssef En-Nesyri,ATA,Fenerbahçe,Jogador,Normal,0,84,15
MAR17,156,17,Marrocos,B,CAF,14,Hakim Ziyech,ATA,Galatasaray,Jogador,Normal,0,80,15
MAR18,157,18,Marrocos,B,CAF,14,Ilias Chair,MEI,QPR,Jogador,Normal,0,80,15
MAR19,158,19,Marrocos,B,CAF,14,Sofiane Boufal,ATA,Angers,Estrela,Brilhante,1,81,15
MAR20,159,20,Marrocos,B,CAF,14,Sofiane Boufal,ATA,Angers,Destaque,Brilhante,1,82,15
JAP01,160,1,Japão,B,AFC,15,Escudo Japão,ESP,—,Escudo,Brilhante,1,,17
JAP02,161,2,Japão,B,AFC,15,Grupo B — Japão,ESP,—,Grupo,Normal,0,,17
JAP03,162,3,Japão,B,AFC,15,Shuichi Gonda,GOL,Shimizu,Goleiro,Normal,0,81,17
JAP04,163,4,Japão,B,AFC,15,Zion Suzuki,GOL,Parma,Goleiro,Normal,0,81,17
JAP05,164,5,Japão,B,AFC,15,Maya Yoshida,ZAG,FC Machida,Jogador,Normal,0,82,17
JAP06,165,6,Japão,B,AFC,15,Ko Itakura,ZAG,Borussia Mönchengladbach,Jogador,Normal,0,78,17
JAP07,166,7,Japão,B,AFC,15,Takehiro Tomiyasu,ZAG,Arsenal,Jogador,Normal,0,81,17
JAP08,167,8,Japão,B,AFC,15,Hiroki Sakai,LAT,Urawa Reds,Jogador,Normal,0,79,17
JAP09,168,9,Japão,B,AFC,15,Yuto Nagatomo,LAT,FC Tokyo,Jogador,Normal,0,77,17
JAP10,169,10,Japão,B,AFC,15,Wataru Endo,VOL,Liverpool,Jogador,Normal,0,83,17
JAP11,170,11,Japão,B,AFC,15,Gaku Shibasaki,MEI,Leganés,Jogador,Normal,0,83,17
JAP12,171,12,Japão,B,AFC,15,Junya Ito,MEI,Reims,Jogador,Normal,0,79,17
JAP13,172,13,Japão,B,AFC,15,Kaoru Mitoma,ATA,Brighton,Jogador,Normal,0,80,17
JAP14,173,14,Japão,B,AFC,15,Takumi Minamino,ATA,Monaco,Jogador,Normal,0,78,17
JAP15,174,15,Japão,B,AFC,15,Daichi Kamada,MEI,Lazio,Jogador,Normal,0,80,17
JAP16,175,16,Japão,B,AFC,15,Ritsu Doan,ATA,SC Freiburg,Jogador,Normal,0,85,17
JAP17,176,17,Japão,B,AFC,15,Ayase Ueda,ATA,Feyenoord,Jogador,Normal,0,85,17
JAP18,177,18,Japão,B,AFC,15,Takefusa Kubo,MEI,Real Sociedad,Jogador,Normal,0,77,17
JAP19,178,19,Japão,B,AFC,15,Sho Ito,ATA,Yokohama FM,Estrela,Brilhante,1,78,17
JAP20,179,20,Japão,B,AFC,15,Sho Ito,ATA,Yokohama FM,Destaque,Brilhante,1,82,17
BRA01,180,1,Brasil,C,CONMEBOL,5,Escudo Brasil,ESP,—,Escudo,Brilhante,1,,19
BRA02,181,2,Brasil,C,CONMEBOL,5,Grupo C — Brasil,ESP,—,Grupo,Normal,0,,19
BRA03,182,3,Brasil,C,CONMEBOL,5,Alisson,GOL,Liverpool,Goleiro,Normal,0,83,19
BRA04,183,4,Brasil,C,CONMEBOL,5,Bento,GOL,Al-Qadsiah,Goleiro,Normal,0,89,19
BRA05,184,5,Brasil,C,CONMEBOL,5,Marquinhos,ZAG,PSG,Jogador,Normal,0,83,19
BRA06,185,6,Brasil,C,CONMEBOL,5,Éder Militão,ZAG,Real Madrid,Jogador,Normal,0,85,19
BRA07,186,7,Brasil,C,CONMEBOL,5,Gabriel Magalhães,ZAG,Arsenal,Jogador,Normal,0,86,19
BRA08,187,8,Brasil,C,CONMEBOL,5,Danilo,LAT,Flamengo,Jogador,Normal,0,80,19
BRA09,188,9,Brasil,C,CONMEBOL,5,Wesley,LAT,Aston Villa,Jogador,Normal,0,83,19
BRA10,189,10,Brasil,C,CONMEBOL,5,Casemiro,VOL,Manchester United,Jogador,Normal,0,84,19
BRA11,190,11,Brasil,C,CONMEBOL,5,Lucas Paquetá,MEI,West Ham,Jogador,Normal,0,82,19
BRA12,191,12,Brasil,C,CONMEBOL,5,Bruno Guimarães,MEI,Newcastle,Jogador,Normal,0,83,19
BRA13,192,13,Brasil,C,CONMEBOL,5,Luiz Henrique,ATA,Botafogo,Jogador,Normal,0,85,19
BRA14,193,14,Brasil,C,CONMEBOL,5,Vinícius Jr,ATA,Real Madrid,Jogador,Normal,0,84,19
BRA15,194,15,Brasil,C,CONMEBOL,5,Rodrygo,ATA,Real Madrid,Jogador,Normal,0,85,19
BRA16,195,16,Brasil,C,CONMEBOL,5,João Pedro,ATA,Brighton,Jogador,Normal,0,85,19
BRA17,196,17,Brasil,C,CONMEBOL,5,Matheus Cunha,ATA,Wolves,Jogador,Normal,0,85,19
BRA18,197,18,Brasil,C,CONMEBOL,5,Gabriel Martinelli,ATA,Arsenal,Jogador,Normal,0,86,19
BRA19,198,19,Brasil,C,CONMEBOL,5,Estêvão,ATA,Chelsea,Estrela,Brilhante,1,85,19
BRA20,199,20,Brasil,C,CONMEBOL,5,Estêvão,ATA,Chelsea,Destaque,Brilhante,1,86,19
ALE01,200,1,Alemanha,C,UEFA,13,Escudo Alemanha,ESP,—,Escudo,Brilhante,1,,21
ALE02,201,2,Alemanha,C,UEFA,13,Grupo C — Alemanha,ESP,—,Grupo,Normal,0,,21
ALE03,202,3,Alemanha,C,UEFA,13,Manuel Neuer,GOL,Bayern Munique,Goleiro,Normal,0,81,21
ALE04,203,4,Alemanha,C,UEFA,13,Marc-André ter Stegen,GOL,Barcelona,Goleiro,Normal,0,85,21
ALE05,204,5,Alemanha,C,UEFA,13,Antonio Rüdiger,ZAG,Real Madrid,Jogador,Normal,0,83,21
ALE06,205,6,Alemanha,C,UEFA,13,Jonathan Tah,ZAG,Bayer Leverkusen,Jogador,Normal,0,83,21
ALE07,206,7,Alemanha,C,UEFA,13,Nico Schlotterbeck,ZAG,Borussia Dortmund,Jogador,Normal,0,84,21
ALE08,207,8,Alemanha,C,UEFA,13,Benjamin Henrichs,LAT,Leipzig,Jogador,Normal,0,78,21
ALE09,208,9,Alemanha,C,UEFA,13,David Raum,LAT,Leipzig,Jogador,Normal,0,76,21
ALE10,209,10,Alemanha,C,UEFA,13,Joshua Kimmich,MEI,Bayern Munique,Jogador,Normal,0,81,21
ALE11,210,11,Alemanha,C,UEFA,13,Leon Goretzka,MEI,Bayern Munique,Jogador,Normal,0,83,21
ALE12,211,12,Alemanha,C,UEFA,13,İlkay Gündoğan,VOL,Barcelona,Jogador,Normal,0,86,21
ALE13,212,13,Alemanha,C,UEFA,13,Florian Wirtz,MEI,Bayer Leverkusen,Jogador,Normal,0,75,21
ALE14,213,14,Alemanha,C,UEFA,13,Leroy Sané,ATA,Bayern Munique,Jogador,Normal,0,79,21
ALE15,214,15,Alemanha,C,UEFA,13,Serge Gnabry,ATA,Bayern Munique,Jogador,Normal,0,86,21
ALE16,215,16,Alemanha,C,UEFA,13,Thomas Müller,ATA,Bayern Munique,Jogador,Normal,0,84,21
ALE17,216,17,Alemanha,C,UEFA,13,Kai Havertz,ATA,Arsenal,Jogador,Normal,0,79,21
ALE18,217,18,Alemanha,C,UEFA,13,Niclas Füllkrug,ATA,West Ham,Jogador,Normal,0,79,21
ALE19,218,19,Alemanha,C,UEFA,13,Jamal Musiala,MEI,Bayern Munique,Estrela,Brilhante,1,84,21
ALE20,219,20,Alemanha,C,UEFA,13,Jamal Musiala,MEI,Bayern Munique,Destaque,Brilhante,1,84,21
COL01,220,1,Colômbia,C,CONMEBOL,20,Escudo Colômbia,ESP,—,Escudo,Brilhante,1,,23
COL02,221,2,Colômbia,C,CONMEBOL,20,Grupo C — Colômbia,ESP,—,Grupo,Normal,0,,23
COL03,222,3,Colômbia,C,CONMEBOL,20,Camilo Vargas,GOL,Tigres,Goleiro,Normal,0,79,23
COL04,223,4,Colômbia,C,CONMEBOL,20,Kevin Mier,GOL,Club América,Goleiro,Normal,0,77,23
COL05,224,5,Colômbia,C,CONMEBOL,20,Davinson Sánchez,ZAG,Galatasaray,Jogador,Normal,0,79,23
COL06,225,6,Colômbia,C,CONMEBOL,20,Yerry Mina,ZAG,Valencia,Jogador,Normal,0,75,23
COL07,226,7,Colômbia,C,CONMEBOL,20,Carlos Cuesta,ZAG,Genk,Jogador,Normal,0,74,23
COL08,227,8,Colômbia,C,CONMEBOL,20,Daniel Muñoz,LAT,Crystal Palace,Jogador,Normal,0,72,23
COL09,228,9,Colômbia,C,CONMEBOL,20,Johan Mojica,LAT,Rayo Vallecano,Jogador,Normal,0,79,23
COL10,229,10,Colômbia,C,CONMEBOL,20,Richard Ríos,VOL,Palmeiras,Jogador,Normal,0,71,23
COL11,230,11,Colômbia,C,CONMEBOL,20,Mateus Uribe,MEI,Porto,Jogador,Normal,0,74,23
COL12,231,12,Colômbia,C,CONMEBOL,20,Jhon Arias,ATA,Fluminense,Jogador,Normal,0,73,23
COL13,232,13,Colômbia,C,CONMEBOL,20,Cucho Hernández,ATA,Columbus Crew,Jogador,Normal,0,79,23
COL14,233,14,Colômbia,C,CONMEBOL,20,Rafael Santos Borré,ATA,Frankfurt,Jogador,Normal,0,82,23
COL15,234,15,Colômbia,C,CONMEBOL,20,Luis Sinisterra,ATA,Bournemouth,Jogador,Normal,0,74,23
COL16,235,16,Colômbia,C,CONMEBOL,20,Radamel Falcao,ATA,Rayo Vallecano,Jogador,Normal,0,76,23
COL17,236,17,Colômbia,C,CONMEBOL,20,Luis Díaz,ATA,Liverpool,Jogador,Normal,0,78,23
COL18,237,18,Colômbia,C,CONMEBOL,20,Juan Cuadrado,LAT,Independiente SF,Jogador,Normal,0,76,23
COL19,238,19,Colômbia,C,CONMEBOL,20,Jhon Córdoba,ATA,Krasnodar,Estrela,Brilhante,1,80,23
COL20,239,20,Colômbia,C,CONMEBOL,20,Jhon Córdoba,ATA,Krasnodar,Destaque,Brilhante,1,82,23
